antique shop;starožitnictví
baker's,bakery;pekařství
bookshop;knihupectví
boutique;butik
butcher's;řeznictví
chain store;obchodní řetězec
charity shop;prodejna charity
chemist's,pharmacy;lékarna
clothes shop;obchod s oděvy
delicatessen;lahůdky
department store;obchodní dům
DIY store;obchod s potřebami pro kutily
fashion boutique;butik s módním zbožím
fishmonger's;prodejna ryb
florist's,flower shop;květinářství
furniture shop;obchod s nábytkem
garden centre;zahradnické centrum
greengrocer's,fruit and veg shop;obchod s ovocem a zeleninou
hardware shop;železářství
health food shop;obchod se zdravou výživou
jeweller's;klenotnictví
market;trh,tržiště
farmers' market
music shop;obchod s hudebninami
newsagent's;novinový stánek,trafika
off-licence;prodejna alkoholických nápojů
pet shop;chovatelské potřeby
second-hand shop;obchod s použitým zbožím,bazar
shoe shop;obchod s obuví
shopping centre,shipping mall;nákupní centrum
sports shop;sportovní zboží
stationer's;papírnictví
supermarket;supermarket

aisle;ulička mezi regály
bar code;čárový kód
basket;košík
checkout,till;pokladna
checkout assistant,cashier;pokladní
convenience food;hotová jídla
conveyor belt;pohyblivý pás u pokladny
pet food;krmivo pro domácí mazlíčky
shelf;police,regál
tinned food;konzervy
toiletries;toaletní potřeby
trolley;nákupní vozík

baby chaing facilities;prostory pro přebalování dětí
cheap;levný
choice;výběr
counter;pult
customer;zákazník
department;oddělení
escalator;eskalátor,pojízdné schody
expensive;drahý
for sale;na prodej
on sale;ve výprodeji
queue;fronta

range of products;výběr,rozsah výrobků
second-hand;použitý,zánovní
shop assistant;prodavač
shopaholic;člověk posedlý nakupováním
shopper;nakupující
shopping bag;nákupní seznam
stall;stánek

gift-wrap;zabalit jako dárek
purchase;zakoupit
queue;stát ve frontě

Can I help you?;Mohu vám nějak pomoci?,Mohu vám nějak poradit?
pick a product off a shelf;vybrat si zobží z regálu

broken;rozbitý
complaint;reklamace
dissatisfied;nespokojený
faulty;vadný,kazový
past the sell-by date;s prošlým datem doporučeného prodeje
receipt;účtenka,paragon
replacement;výměna zboží
return;vrátit
scratched;poškrábaný

exchange;vyměnit
replace;nahradit
work;fungovat,pracovat

get a refund,get your money back;dostat zpátky peníze
give refunds;vracet peníze
keep crashing;stále nefungovat,opakovaně nefungovat
make a complaint;reklamovat
return something;take something back;vrátit,odnést zpátky
talk to the manager;promluvit si s vedoucím
changing room,fitting room;zkušební kabinky
designer clothes;značkové oblečení
fashion;móda
fashion accesories;módní doplňky
fashion label;módní značka
the latest fashions;poslední móda,nejnovější móda
fashionable;módní
label;značka
designer label;návrhářská módní značka
last year's model;loňský model
men's wear;pánská móda
outfit;oblčení,komplet
size;velikost
the right size;správna velikost
too loose;příliš volný
too small;příliš malý
too tight;příliš těsný
trendy;módní
women's wear;dámská móda

fit;dobře padnout,sedět
match;hodit se
suit;slušet

go shopping;jít nakupovat
I'm size 38;mám velikost 38
look for something;hledat něco
shop for clothes;nakupovat oblečení
try something on;vyzkoušet si něco na sobě

bank;banka
car wash;automyčka
daycare centre for children;zařízení denní péče o děti (školka, jesle)
dry cleaner's;chemická čistírna
eatery;jídelna
food court;zóna s rychlým občerstvením,zóna s restaracemi
garage;autoservis,garáž
hairdresser's;kadeřnictví
launderette;samoobslužná prádelna
laundry;prádelna
petrol station;čerpací stanice
photographer's;fotograf
post office;pošta
service station;servisní stanice,autoservis
services;služby
shoe repairs;opravna obuvi
50 per cent discount,50 per cent off;padesátiprocentní sleva
bergain;výhodná koupě
deal;obchod,dohoda
great reductions;velké snížení cen
price;cena
a fair price;rozumná cena
half price;poloviční cena
sale;výprodej
special offer;výhodná cena
on special offer;za výhodnou cenu

be reduced from 100 pounds to 50 pounds;zlevněný ze 100 liber na 50
buy something in a sale;koupit něco ve výprodeji
buy two, get one free;dva za cenu jednoho

ATM (automatic teller machine),cash machine;bankomat
cash;hotovost
cheque;šek
credit card;kreditní karta

pay;platit
accept credit cards,take credit cards;přijímat karty,brát karty
enter you PIN;vložit PIN
get money out of a cash machine;vybrat peníze z bankomatu
not have enough cash on oneself;nemít při sobě dostatečnou hotovost
pay by cheque;platit šekem
pay by credit card;platit kartou
pay in cash;platit hotově

ad,advert,advertisement;reklama
advertising campaign;reklamní kampaň
billboard,hoarding;billboard
brand,make;značka
brand name;obchodní značka
brochure;reklamní brožura
classified ad;reklamní inzerát
commercial;televizní reklama,rozhlasová reklama
jingle;znělka
leaflet;leták
logo;logo
peer pressure;vliv vrstevníků,tlak vrstevníků
poster;plakát
slogan;reklamní heslo,slogan

advertise;propagovat,dělat reklamu

attract the crowds;lákat davy
place an advertisement;uveřejnit reklamu

consumer;spotřebitel
consumer society;konzumní společnost
consumerism;konzumerizmus,zaměření na spotřebu
consumption;spotřeba
free market;volný trh
goods;zboží
product;výrobek
profit;zisk
protectionism;ochranářství,celní ochrana
trade;obchod

